2018-11-07 13:58:47,893 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-11-07 13:58:47,894 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-11-07 13:58:48,066 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@6c8b6782] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:48,066 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@4ceac22d] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:48,094 INFO  - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@3062f9f4'
2018-11-07 13:58:48,102 INFO  - HHH000397: Using ASTQueryTranslatorFactory
2018-11-07 13:58:48,112 INFO  - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2018-11-07 13:58:48,112 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@2afd8972] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:48,115 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
2018-11-07 13:58:48,157 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-11-07 13:58:48,158 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
2018-11-07 13:58:48,158 INFO  - HHH10001001: Connection properties: {user=sa, password=****}
2018-11-07 13:58:48,158 INFO  - HHH10001003: Autocommit mode: false
2018-11-07 13:58:48,158 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-11-07 13:58:48,160 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-11-07 13:58:48,308 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@52a9c251] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:48,310 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@5eace68f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:48,340 INFO  - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@3062f9f4'
2018-11-07 13:58:48,350 INFO  - HHH000397: Using ASTQueryTranslatorFactory
2018-11-07 13:58:48,361 INFO  - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2018-11-07 13:58:48,361 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@5796ae15] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2018-11-07 13:58:48,366 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:aipclient;INIT=CREATE SCHEMA IF NOT EXISTS opday]
